MSOA21CD,n_oas,n_diff,disagree_pct
E02000574,26,2,7.6923076923076925
E02000575,40,0,0.0
E02000576,36,0,0.0
E02000577,25,1,4.0
E02000578,20,1,5.0
E02000579,29,2,6.896551724137931
E02000580,31,0,0.0
E02000581,23,1,4.3478260869565215
E02000582,34,6,17.647058823529413
E02000583,29,2,6.896551724137931
E02000584,33,2,6.0606060606060606
E02000585,30,3,10.0
E02000586,32,2,6.25
E02000587,28,2,7.142857142857142
E02000588,36,0,0.0
E02000589,35,0,0.0
E02000590,27,1,3.7037037037037033
E02000591,27,0,0.0
E02000592,30,0,0.0
E02000593,33,0,0.0
E02000594,32,3,9.375
E02000595,31,3,9.67741935483871
E02000596,27,2,7.4074074074074066
E02000597,29,3,10.344827586206897
E02000598,23,2,8.695652173913043
E02000599,20,2,10.0
E02000600,27,2,7.4074074074074066
E02000601,36,6,16.666666666666664
E02000602,28,2,7.142857142857142
E02000603,24,2,8.333333333333332
E02000604,26,2,7.6923076923076925
E02000605,24,2,8.333333333333332
E02000606,36,8,22.22222222222222
E02000607,23,0,0.0
E02000608,26,4,15.384615384615385
E02000609,22,5,22.727272727272727
E02000610,31,6,19.35483870967742
E02000611,22,3,13.636363636363635
E02000612,24,4,16.666666666666664
E02000613,26,4,15.384615384615385
E02000614,26,8,30.76923076923077
E02000615,24,5,20.833333333333336
E02000616,19,11,57.89473684210527
E02000617,25,2,8.0
E02000619,31,2,6.451612903225806
E02000620,33,4,12.121212121212121
E02000621,44,2,4.545454545454546
E02000622,26,3,11.538461538461538
E02000623,27,1,3.7037037037037033
E02000624,30,2,6.666666666666667
E02000625,26,1,3.8461538461538463
E02000626,24,1,4.166666666666666
E02000627,28,1,3.571428571428571
E02000628,31,1,3.225806451612903
E02000629,28,7,25.0
E02000630,28,9,32.142857142857146
E02000631,27,4,14.814814814814813
E02000632,29,13,44.827586206896555
E02000633,28,2,7.142857142857142
E02000634,22,1,4.545454545454546
E02000635,29,4,13.793103448275861
E02000636,25,8,32.0
E02000637,28,8,28.57142857142857
E02000638,31,5,16.129032258064516
E02000639,28,0,0.0
E02000640,34,6,17.647058823529413
E02000641,24,2,8.333333333333332
E02000642,28,5,17.857142857142858
E02000643,32,5,15.625
E02000644,26,7,26.923076923076923
E02000645,28,4,14.285714285714285
E02000646,29,6,20.689655172413794
E02000647,27,4,14.814814814814813
E02000648,27,3,11.11111111111111
E02000649,40,6,15.0
E02000650,27,6,22.22222222222222
E02000651,24,3,12.5
E02000652,23,2,8.695652173913043
E02000653,36,0,0.0
E02000654,28,1,3.571428571428571
